gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
144868,RAM,T+3,313.3637,173.7908,323.023,65.2338,331.9878,57.89,339.9117,282.0218,90.0,LightGBM,2026-04-01,future
144868,RAM,T+4,303.5079,197.8989,315.5458,86.7457,318.7265,54.6182,341.5903,286.9721,94.55,LightGBM,2026-05-01,future
144873,RAM,T+1,81.3812,62.5362,93.1376,43.3164,87.0286,27.8313,81.4919,53.6606,65.94,LightGBM,2026-02-01,future
144873,RAM,T+2,99.8747,62.3547,104.9307,38.1497,109.4729,25.4858,139.6552,114.1694,114.31,LightGBM,2026-03-01,future
144873,RAM,T+3,111.4558,74.1574,117.8236,39.3371,103.0054,26.1172,154.3156,128.1984,115.02,LightGBM,2026-04-01,future
144873,RAM,T+4,115.3177,57.2901,73.761,44.1152,102.5999,23.0786,149.0013,125.9227,109.2,LightGBM,2026-05-01,future
144877,RAM,T+1,84.8334,75.4807,86.1393,45.1368,101.6457,30.5497,77.6229,47.0732,55.49,LightGBM,2026-02-01,future
144877,RAM,T+2,132.9911,77.6972,148.8654,41.0149,114.8563,28.5947,167.2783,138.6835,104.28,LightGBM,2026-03-01,future
144877,RAM,T+3,143.4472,96.8754,166.9192,41.8141,133.6512,30.2601,257.6566,227.3965,158.52,LightGBM,2026-04-01,future
144877,RAM,T+4,134.8046,85.8027,114.0052,48.6604,124.4602,28.09,172.5359,144.4459,107.15,LightGBM,2026-05-01,future
144879,RAM,T+1,295.9085,195.3774,368.2218,87.6401,377.7067,56.7518,397.1737,340.4219,115.04,LightGBM,2026-02-01,future
144879,RAM,T+2,290.9721,177.2628,326.7489,66.8291,324.4845,57.1473,372.9111,315.7637,108.52,LightGBM,2026-03-01,future
144879,RAM,T+3,311.5082,173.2783,333.156,67.919,319.5228,57.5047,339.142,281.6374,90.41,LightGBM,2026-04-01,future
144879,RAM,T+4,295.5412,194.6268,330.0703,85.922,315.1005,67.3796,338.7755,271.3959,91.83,LightGBM,2026-05-01,future
144880,RAM,T+1,26.7224,23.8779,44.39,21.652,68.2972,13.021,79.361,66.34,248.26,LightGBM,2026-02-01,future
144880,RAM,T+2,34.9163,29.9381,76.7173,23.5217,48.5668,14.8561,106.7738,91.9176,263.25,LightGBM,2026-03-01,future
144880,RAM,T+3,53.4293,44.6813,53.9854,21.9416,84.9712,13.2276,121.9673,108.7397,203.52,LightGBM,2026-04-01,future
144880,RAM,T+4,30.8991,22.7829,28.2221,18.9434,48.4008,16.6037,108.3278,91.7241,296.85,LightGBM,2026-05-01,future
144886,RAM,T+1,17.5765,19.6892,18.5242,17.415,20.3906,11.6961,34.7485,23.0524,131.15,LightGBM,2026-02-01,future
144886,RAM,T+2,19.6589,16.7774,22.5467,16.7599,25.8072,10.2005,59.4956,49.295,250.75,LightGBM,2026-03-01,future
144886,RAM,T+3,18.3867,17.162,21.9144,16.409,27.081,10.2388,79.3933,69.1544,376.11,LightGBM,2026-04-01,future
144886,RAM,T+4,19.818,14.0739,22.2178,15.2704,28.8745,10.5301,78.6086,68.0784,343.52,LightGBM,2026-05-01,future
144943,RAM,T+1,226.0107,158.2161,254.3193,70.366,269.4558,50.765,290.8589,240.0939,106.23,LightGBM,2026-02-01,future
144943,RAM,T+2,226.8601,149.0042,251.1867,55.2816,266.5964,41.6631,317.8002,276.1371,121.72,LightGBM,2026-03-01,future
144943,RAM,T+3,245.4485,140.2197,279.7351,48.3469,276.2432,41.4945,291.5061,250.0116,101.86,LightGBM,2026-04-01,future
144943,RAM,T+4,220.7116,166.1073,273.0892,65.1643,271.7296,41.1462,305.8594,264.7131,119.94,LightGBM,2026-05-01,future
144949,RAM,T+1,46.1721,41.2697,44.3177,34.9512,45.2924,19.5217,63.9881,44.4664,96.31,LightGBM,2026-02-01,future
144949,RAM,T+2,53.6544,48.8748,49.715,31.8479,55.321,18.1622,105.3786,87.2164,162.55,LightGBM,2026-03-01,future
144949,RAM,T+3,79.6056,59.2315,56.6745,30.4727,69.986,17.3324,103.4676,86.1352,108.2,LightGBM,2026-04-01,future
144949,RAM,T+4,53.4632,43.134,44.3971,28.5071,65.1299,19.0503,105.7629,86.7126,162.19,LightGBM,2026-05-01,future
144951,RAM,T+1,42.1816,41.8441,50.8289,34.5708,62.7498,17.8675,69.3455,51.478,122.04,LightGBM,2026-02-01,future
144951,RAM,T+2,51.5764,46.0224,53.9105,31.7645,54.941,17.1411,106.6916,89.5506,173.63,LightGBM,2026-03-01,future
144951,RAM,T+3,80.5028,59.8537,55.3775,29.5265,68.3569,16.5148,103.035,86.5202,107.47,LightGBM,2026-04-01,future
144951,RAM,T+4,49.2661,41.74,57.311,28.2496,52.6234,16.8496,102.1663,85.3167,173.18,LightGBM,2026-05-01,future
144953,RAM,T+1,204.4511,154.3282,210.907,59.0127,237.0295,41.6488,270.4289,228.7801,111.9,LightGBM,2026-02-01,future
144953,RAM,T+2,214.5439,131.8736,212.52,52.1388,225.772,34.9245,263.9392,229.0148,106.74,LightGBM,2026-03-01,future
144953,RAM,T+3,208.9457,142.4996,242.0755,46.1675,228.3984,33.4994,253.1076,219.6082,105.1,LightGBM,2026-04-01,future
144953,RAM,T+4,206.9927,124.5691,229.7644,62.5246,259.5258,36.124,288.6011,252.4771,121.97,LightGBM,2026-05-01,future
144977,RAM,T+1,17.953,17.7657,16.8979,15.7815,20.6333,10.9095,32.0621,21.1526,117.82,LightGBM,2026-02-01,future
144977,RAM,T+2,18.0189,14.1686,18.7864,15.7071,25.3257,9.6824,59.6638,49.9814,277.38,LightGBM,2026-03-01,future
144977,RAM,T+3,18.1511,15.8977,17.7994,16.7299,26.0607,10.009,83.0493,73.0403,402.4,LightGBM,2026-04-01,future
144977,RAM,T+4,19.1347,16.0584,19.0339,16.0494,27.3133,10.203,75.5672,65.3643,341.6,LightGBM,2026-05-01,future
145043,RAM,T+1,27.3499,27.364,36.0569,25.2929,35.2039,15.9773,51.4562,35.4789,129.72,LightGBM,2026-02-01,future
145043,RAM,T+2,37.5189,31.7264,34.804,26.903,43.173,15.4091,90.9965,75.5874,201.46,LightGBM,2026-03-01,future
145043,RAM,T+3,41.67,34.8768,42.9163,27.0451,48.9262,15.0221,90.735,75.7129,181.7,LightGBM,2026-04-01,future
145043,RAM,T+4,39.269,34.5312,34.1161,25.2887,43.6223,16.0568,92.0728,76.016,193.58,LightGBM,2026-05-01,future
145121,RAM,T+1,201.9034,124.883,193.3356,50.1938,219.3905,32.2277,234.3488,202.1211,100.11,LightGBM,2026-02-01,future
145121,RAM,T+2,186.1624,119.5392,202.314,46.6622,214.7917,30.1127,253.7456,223.6329,120.13,LightGBM,2026-03-01,future
145121,RAM,T+3,181.1432,134.8954,234.5417,42.7904,197.3768,32.3818,240.8528,208.4711,115.09,LightGBM,2026-04-01,future
145121,RAM,T+4,171.9839,116.8414,207.3573,57.5813,241.4853,30.6364,269.3582,238.7218,138.8,LightGBM,2026-05-01,future
145445,RAM,T+1,273.773,180.706,312.0901,75.0307,332.5286,56.11,353.2145,297.1045,108.52,LightGBM,2026-02-01,future
145445,RAM,T+2,239.0018,156.8864,291.5017,60.3833,295.4793,48.416,356.7507,308.3347,129.01,LightGBM,2026-03-01,future
145445,RAM,T+3,281.7163,155.0307,299.6358,67.7441,281.8828,52.4204,303.5203,251.0999,89.13,LightGBM,2026-04-01,future
145445,RAM,T+4,230.4357,177.7434,284.4941,74.9802,284.886,46.5328,330.2418,283.709,123.12,LightGBM,2026-05-01,future
145459,RAM,T+1,285.9607,182.372,312.3791,79.6806,339.5439,57.1331,387.8379,330.7048,115.65,LightGBM,2026-02-01,future
145459,RAM,T+2,251.2758,153.3589,335.1228,65.5225,315.2018,52.9713,377.0348,324.0635,128.97,LightGBM,2026-03-01,future
145459,RAM,T+3,281.3855,152.9251,307.2355,71.9741,286.3329,57.5361,310.9655,253.4294,90.06,LightGBM,2026-04-01,future
145459,RAM,T+4,229.5691,185.6713,295.3128,74.5588,289.3167,48.6013,331.3122,282.7109,123.15,LightGBM,2026-05-01,future
146669,RAM,T+1,374.5561,255.6941,414.903,132.3105,457.1856,75.9851,496.5994,420.6144,112.3,LightGBM,2026-02-01,future
146669,RAM,T+2,344.0875,213.7431,382.0589,97.9754,365.575,75.1089,423.6059,348.497,101.28,LightGBM,2026-03-01,future
146669,RAM,T+3,354.9929,218.2897,373.6941,114.5084,357.6796,78.6879,413.8973,335.2094,94.43,LightGBM,2026-04-01,future
