gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
51621,Storage,T+4,128.922,120.7199,137.1749,102.3083,150.1906,85.304,145.8593,60.5554,46.97,XGBoost,2026-05-01,future
51623,Storage,T+1,50.9522,45.0879,69.3389,37.5284,90.5652,30.1963,142.088,111.8917,219.6,XGBoost,2026-02-01,future
51623,Storage,T+2,62.8976,45.8787,68.5499,38.6568,126.8508,30.3171,163.015,132.6979,210.97,XGBoost,2026-03-01,future
51623,Storage,T+3,57.4202,45.4733,83.3534,32.8343,123.6373,27.3252,164.244,136.9187,238.45,XGBoost,2026-04-01,future
51623,Storage,T+4,63.4737,44.241,83.591,30.3472,102.1586,30.0815,155.3593,125.2778,197.37,XGBoost,2026-05-01,future
51624,Storage,T+1,24.2651,22.2015,28.5401,18.9076,32.0127,16.7499,41.6641,24.9142,102.68,XGBoost,2026-02-01,future
51624,Storage,T+2,26.1849,19.7618,29.0004,18.4047,34.4363,15.1817,46.4263,31.2446,119.32,XGBoost,2026-03-01,future
51624,Storage,T+3,26.8977,18.6502,33.3583,17.739,38.1299,15.8425,49.7033,33.8608,125.89,XGBoost,2026-04-01,future
51624,Storage,T+4,28.1054,23.7865,36.5979,20.0493,40.1834,15.0801,53.8599,38.7797,137.98,XGBoost,2026-05-01,future
51634,Storage,T+1,49.014,49.137,49.061,47.709,49.3806,42.1384,49.8564,7.7181,15.75,XGBoost,2026-02-01,future
51634,Storage,T+2,50.8635,47.1449,48.172,44.4851,51.048,43.3713,47.9047,4.5334,8.91,XGBoost,2026-03-01,future
51634,Storage,T+3,49.9906,45.9535,50.7211,42.0313,54.8051,44.3264,57.5305,13.2041,26.41,XGBoost,2026-04-01,future
51634,Storage,T+4,50.1058,47.8466,51.4168,43.8828,52.6701,45.5315,56.6212,11.0897,22.13,XGBoost,2026-05-01,future
51647,Storage,T+1,68.9584,67.6426,68.7905,60.2507,74.268,51.6462,79.9702,28.3241,41.07,XGBoost,2026-02-01,future
51647,Storage,T+2,67.4646,64.4562,74.0322,54.7035,80.3595,47.9127,80.5651,32.6524,48.4,XGBoost,2026-03-01,future
51647,Storage,T+3,64.3552,62.0107,75.4725,56.4641,79.7461,50.8588,82.9709,32.1121,49.9,XGBoost,2026-04-01,future
51647,Storage,T+4,66.1733,63.9519,74.5503,57.4614,73.23,48.6935,80.6248,31.9313,48.25,XGBoost,2026-05-01,future
51650,Storage,T+1,233.3029,224.6009,256.5053,204.0953,257.4427,177.1492,289.5856,112.4365,48.19,XGBoost,2026-02-01,future
51650,Storage,T+2,237.1089,217.2912,258.9425,198.7903,271.9026,167.2194,299.85,132.6306,55.94,XGBoost,2026-03-01,future
51650,Storage,T+3,235.5603,212.4395,259.0848,186.1135,270.9552,173.1487,295.9863,122.8376,52.15,XGBoost,2026-04-01,future
51650,Storage,T+4,236.5173,211.7151,258.7411,188.9213,254.3976,170.435,295.8428,125.4078,53.02,XGBoost,2026-05-01,future
51659,Storage,T+1,234.0085,224.2131,256.7419,204.0953,257.7241,179.201,294.4594,115.2585,49.25,XGBoost,2026-02-01,future
51659,Storage,T+2,238.0034,216.1334,262.1946,199.3253,281.892,169.4182,303.9032,134.4849,56.51,XGBoost,2026-03-01,future
51659,Storage,T+3,234.967,212.6686,263.8525,187.1931,281.8567,176.4029,302.822,126.4191,53.8,XGBoost,2026-04-01,future
51659,Storage,T+4,238.4689,211.9017,262.1169,189.4109,259.8246,171.1718,297.7105,126.5387,53.06,XGBoost,2026-05-01,future
51667,Storage,T+1,138.478,131.8862,137.4221,121.1586,141.3977,99.4051,152.6347,53.2296,38.44,XGBoost,2026-02-01,future
51667,Storage,T+2,135.2161,125.4398,133.0655,114.8076,154.4864,88.223,150.0441,61.8211,45.72,XGBoost,2026-03-01,future
51667,Storage,T+3,128.4594,125.8532,130.9194,110.1203,153.3504,87.1432,142.8566,55.7134,43.37,XGBoost,2026-04-01,future
51667,Storage,T+4,130.4034,122.6859,137.2999,101.8536,148.9688,84.6549,141.502,56.847,43.59,XGBoost,2026-05-01,future
51669,Storage,T+1,49.014,49.1412,49.061,47.7912,49.3806,42.1384,49.8564,7.7181,15.75,XGBoost,2026-02-01,future
51669,Storage,T+2,50.8631,47.109,48.172,44.4851,51.048,43.3713,47.9047,4.5334,8.91,XGBoost,2026-03-01,future
51669,Storage,T+3,49.9906,45.9595,50.7211,42.0313,54.8051,44.3264,57.5305,13.2041,26.41,XGBoost,2026-04-01,future
