gc_id,segment,model,n_horizons,mape_median,mape_mean,mape_p95,mae,rmse,bias,bias_pct,best_horizon
191484,GPU,LightGBM,4,2.98,3.27,6.15,5.2307,6.5174,-0.7701,-0.29,T+4
191484,GPU,XGBoost,4,7.66,7.71,10.42,12.0581,12.7869,3.0329,2.43,T+2
191484,GPU,LSTM,4,60.73,61.59,64.79,95.4774,95.9711,-95.4774,-61.59,T+4
191485,GPU,XGBoost,4,17.41,15.79,21.5,5.8285,6.4156,0.9375,4.81,T+3
191485,GPU,LightGBM,4,18.5,14.8,20.79,5.3539,6.086,1.5256,6.21,T+3
191485,GPU,LSTM,4,67.81,63.64,85.21,21.9624,22.5208,21.9624,63.65,T+4
191487,GPU,LightGBM,4,24.63,29.1,62.39,5.6411,7.1865,5.6411,29.1,T+4
191487,GPU,XGBoost,4,29.23,32.26,65.4,6.3327,7.8052,6.1478,31.65,T+4
191487,GPU,LSTM,4,153.12,155.42,218.17,33.8665,34.1866,33.8665,155.42,T+4
191495,GPU,XGBoost,4,2.25,2.72,5.9,102.4298,136.5121,-44.4954,-1.13,T+2
191495,GPU,LightGBM,4,2.86,2.94,4.11,109.6417,114.6029,31.6809,0.94,T+3
191495,GPU,LSTM,4,98.46,98.47,98.55,3708.0622,3710.6124,-3708.0622,-98.47,T+1
191500,GPU,XGBoost,4,5.95,5.97,11.36,65.5241,84.1951,-64.0477,-5.83,T+4
191500,GPU,LightGBM,4,13.86,11.34,17.11,122.9031,143.3172,122.9031,11.34,T+4
191500,GPU,LSTM,4,94.57,94.59,94.86,1004.5636,1005.5567,-1004.5636,-94.59,T+4
191502,GPU,LightGBM,4,4.29,4.26,7.67,20.0504,24.3972,-5.6688,-1.06,T+4
191502,GPU,XGBoost,4,5.1,4.29,6.68,20.6808,24.3131,-11.4233,-2.3,T+1
191502,GPU,LSTM,4,87.75,87.65,88.08,413.4064,413.7326,-413.4064,-87.65,T+1
191504,GPU,LightGBM,4,9.48,9.58,17.52,32.7373,39.755,-31.6156,-9.23,T+1
191504,GPU,XGBoost,4,10.37,10.16,18.03,34.7344,42.5056,-34.7344,-10.16,T+1
191504,GPU,LSTM,4,82.95,82.95,83.51,278.3808,278.5365,-278.3808,-82.95,T+1
191505,GPU,LightGBM,4,1.49,2.36,5.47,2.2843,3.1176,1.2267,1.3,T+3
191505,GPU,XGBoost,4,2.33,2.2,3.37,2.1367,2.398,0.1189,0.13,T+2
191505,GPU,LSTM,4,40.36,40.72,42.25,39.6725,39.7163,-39.6725,-40.72,T+2
191507,GPU,XGBoost,4,4.01,5.62,11.75,6.2886,8.3067,-5.623,-4.93,T+1
191507,GPU,LightGBM,4,5.21,6.0,11.31,6.6728,8.2707,-6.6728,-6.0,T+1
191507,GPU,LSTM,4,44.47,45.13,50.41,48.0468,48.7256,-48.0468,-45.13,T+1
191509,GPU,XGBoost,4,5.12,8.33,20.11,1.3886,1.9692,0.9819,6.17,T+2
191509,GPU,LightGBM,4,10.61,11.46,15.22,1.9768,2.0378,0.0182,0.92,T+2
191509,GPU,LSTM,4,236.25,240.86,275.82,41.1845,41.2059,41.1845,240.86,T+4
191511,GPU,LightGBM,4,9.11,10.26,14.96,2.3564,2.4155,0.3841,2.85,T+4
191511,GPU,XGBoost,4,9.5,10.1,15.61,2.2973,2.4131,0.5587,3.57,T+3
191511,GPU,LSTM,4,146.24,148.55,181.31,34.5011,34.6155,34.5011,148.55,T+3
191513,GPU,LightGBM,4,1.06,1.05,1.9,0.2716,0.3393,-0.0024,-0.01,T+2
191513,GPU,XGBoost,4,2.15,2.65,5.22,0.6921,0.8518,0.1218,0.51,T+3
191513,GPU,LSTM,4,116.81,116.57,121.88,30.5309,30.5373,30.5309,116.57,T+2
191515,GPU,LightGBM,4,2.92,3.59,7.57,1.4361,1.8662,1.4361,3.59,T+1
191515,GPU,XGBoost,4,3.79,4.67,9.21,1.819,2.2179,-1.819,-4.67,T+3
191515,GPU,LSTM,4,47.4,47.48,51.51,18.7396,18.7594,18.7396,47.48,T+4
191519,GPU,XGBoost,4,5.43,5.01,8.75,1.6784,2.0631,1.2273,3.76,T+4
191519,GPU,LightGBM,4,7.64,6.73,10.44,2.2706,2.5919,1.1261,3.53,T+4
191519,GPU,LSTM,4,72.06,70.66,76.22,24.0809,24.1083,24.0809,70.66,T+1
191522,GPU,XGBoost,4,29.54,24.9,35.03,4.9337,5.3969,4.2984,22.43,T+3
191522,GPU,LightGBM,4,30.53,27.77,42.01,5.5219,6.0545,4.6286,24.3,T+3
191522,GPU,LSTM,4,198.05,180.53,199.53,37.1962,37.2934,37.1962,180.53,T+3
191524,GPU,LightGBM,4,33.56,33.93,46.43,9.3712,9.6598,9.3712,33.93,T+1
191524,GPU,XGBoost,4,42.44,44.02,54.82,12.4421,12.723,12.4421,44.02,T+4
191524,GPU,LSTM,4,108.03,105.42,124.53,29.283,29.3922,29.283,105.42,T+1
191528,GPU,LSTM,4,10.42,17.45,38.33,14.923,22.3144,-11.1123,-10.42,T+4
191528,GPU,LightGBM,4,35.52,40.08,59.17,30.4033,36.1766,-30.4033,-40.08,T+4
191528,GPU,XGBoost,4,37.9,42.07,63.42,32.1196,38.5915,-32.1196,-42.07,T+3
191530,GPU,LightGBM,4,13.97,17.89,39.94,11.2279,15.4026,10.7843,17.26,T+4
191530,GPU,XGBoost,4,14.32,16.66,35.54,10.5421,13.7235,10.5421,16.66,T+4
191530,GPU,LSTM,4,15.86,14.09,20.04,9.7683,10.8173,-9.7683,-14.09,T+1
191533,GPU,LightGBM,4,5.53,5.67,9.74,3.4941,4.1588,-3.4941,-5.67,T+3
191533,GPU,LSTM,4,7.44,8.13,12.03,5.1689,5.5528,-5.1689,-8.13,T+1
191533,GPU,XGBoost,4,14.12,13.3,14.8,8.3786,8.4834,-8.3786,-13.3,T+2
191534,GPU,LightGBM,4,9.14,8.86,15.75,8.1865,9.9806,-8.1865,-8.85,T+4
191534,GPU,XGBoost,4,16.56,19.32,36.24,19.1399,24.6153,-19.1399,-19.32,T+1
191534,GPU,LSTM,4,31.08,34.06,46.89,32.6521,35.8057,-32.6521,-34.06,T+1
191536,GPU,XGBoost,4,13.37,13.77,20.27,24.8627,26.0561,24.8627,13.77,T+1
191536,GPU,LightGBM,4,14.43,18.89,37.83,33.5794,40.7697,33.5794,18.89,T+1
191536,GPU,LSTM,4,68.05,68.8,72.19,128.386,129.3565,-128.386,-68.79,T+3
191537,GPU,XGBoost,4,16.0,16.62,28.28,20.3113,22.6126,9.3521,9.04,T+1
191537,GPU,LightGBM,4,16.5,17.42,26.15,21.8326,23.0186,6.5829,6.89,T+2
191537,GPU,LSTM,4,55.86,54.79,59.85,72.2736,73.7485,-72.2736,-54.79,T+4
191548,GPU,LightGBM,4,1.89,2.0,3.4,0.3756,0.4261,0.1568,0.85,T+1
191548,GPU,XGBoost,4,3.02,2.55,3.55,0.477,0.5254,-0.4253,-2.29,T+4
191548,GPU,LSTM,4,206.89,206.69,212.83,38.7999,38.8014,38.7999,206.7,T+4
191556,GPU,LightGBM,4,5.68,5.41,9.43,27.2169,32.4337,-27.2169,-5.41,T+4
191556,GPU,XGBoost,4,9.38,8.87,11.5,44.6967,46.4314,-44.6967,-8.86,T+2
191556,GPU,LSTM,4,88.62,88.63,88.77,447.4073,447.4286,-447.4073,-88.64,T+3
191558,GPU,LightGBM,4,64.37,52.81,74.95,3.7468,4.1756,3.3476,49.1,T+4
191558,GPU,XGBoost,4,92.57,84.91,127.87,6.0525,6.5156,6.0525,84.91,T+4
191558,GPU,LSTM,4,724.6,666.69,775.6,50.3147,50.3405,50.3147,666.69,T+4
191559,GPU,LightGBM,4,75.77,76.75,121.31,8.5182,9.3716,8.5182,76.76,T+4
191559,GPU,XGBoost,4,82.56,95.79,182.57,10.4037,12.5364,10.4037,95.8,T+4
191559,GPU,LSTM,4,437.45,399.59,455.05,45.5251,45.5787,45.5251,399.59,T+3
191561,GPU,LightGBM,4,3.86,4.05,7.82,5.2182,6.488,5.1959,4.03,T+4
191561,GPU,XGBoost,4,9.46,9.34,11.7,11.9392,12.1966,11.9392,9.33,T+1
191561,GPU,LSTM,4,54.24,54.36,55.4,69.748,69.78,-69.748,-54.36,T+4
191562,GPU,LightGBM,4,9.5,10.17,16.45,4.3624,4.9238,-3.1587,-7.31,T+4
