gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
50119,Processor,T+1,71.9016,70.5867,92.9726,51.0652,85.6322,39.9554,123.0847,83.1293,115.62,XGBoost,2026-02-01,future
50119,Processor,T+2,75.5943,53.3562,92.4091,50.1832,124.7585,33.7117,172.1079,138.3962,183.08,XGBoost,2026-03-01,future
50119,Processor,T+3,70.8367,51.5672,86.6566,42.4227,124.3133,29.5787,184.4202,154.8415,218.59,XGBoost,2026-04-01,future
50119,Processor,T+4,68.7347,47.2757,85.6917,38.7915,130.139,23.5885,167.5984,144.0098,209.52,XGBoost,2026-05-01,future
50124,Processor,T+1,16.2467,15.8167,17.7671,14.2053,18.314,11.8531,21.8508,9.9977,61.54,XGBoost,2026-02-01,future
50124,Processor,T+2,17.5775,13.1917,20.862,12.6293,20.6558,11.0148,23.6809,12.6661,72.06,XGBoost,2026-03-01,future
50124,Processor,T+3,16.4718,12.8543,18.4334,11.8974,20.2477,10.0002,29.8782,19.878,120.68,XGBoost,2026-04-01,future
50124,Processor,T+4,16.7478,12.3944,16.71,11.6917,19.6276,8.9605,27.9856,19.0251,113.6,XGBoost,2026-05-01,future
50125,Processor,T+1,16.9538,16.709,17.3329,15.3374,19.9617,12.7116,21.9939,9.2823,54.75,XGBoost,2026-02-01,future
50125,Processor,T+2,16.248,15.6501,18.4773,14.0259,20.3343,10.4642,24.623,14.1589,87.14,XGBoost,2026-03-01,future
50125,Processor,T+3,17.062,14.9139,18.5051,12.7971,21.5406,9.5066,26.3821,16.8755,98.91,XGBoost,2026-04-01,future
50125,Processor,T+4,17.144,14.4331,18.6959,12.1109,20.2686,9.3176,27.616,18.2984,106.73,XGBoost,2026-05-01,future
50130,Processor,T+1,86.6657,72.7649,94.2196,55.3733,106.674,39.3638,125.9121,86.5483,99.86,XGBoost,2026-02-01,future
50130,Processor,T+2,80.6654,62.6141,99.9977,50.8387,121.704,36.6316,139.8184,103.1868,127.92,XGBoost,2026-03-01,future
50130,Processor,T+3,80.3739,60.2838,91.5685,46.085,116.1906,26.8299,134.0012,107.1713,133.34,XGBoost,2026-04-01,future
50130,Processor,T+4,75.8746,53.341,88.6787,36.5444,105.7621,23.4372,120.8723,97.4351,128.42,XGBoost,2026-05-01,future
50132,Processor,T+1,14.4103,12.3737,18.4505,7.8419,31.3945,5.7813,40.6262,34.845,241.81,XGBoost,2026-02-01,future
50132,Processor,T+2,15.2097,9.4393,22.3517,7.8663,47.8214,4.8322,50.7563,45.9241,301.94,XGBoost,2026-03-01,future
50132,Processor,T+3,12.6843,5.5036,23.906,5.5087,33.5536,4.362,70.0408,65.6788,517.8,XGBoost,2026-04-01,future
50132,Processor,T+4,14.9217,13.1809,17.7981,8.3061,21.6658,4.2307,98.9424,94.7117,634.73,XGBoost,2026-05-01,future
50138,Processor,T+1,21.5381,21.646,23.9855,19.4396,29.162,14.8206,43.0894,28.2687,131.25,XGBoost,2026-02-01,future
50138,Processor,T+2,24.4201,20.0557,27.7402,17.0089,32.8865,13.0128,55.2776,42.2647,173.07,XGBoost,2026-03-01,future
50138,Processor,T+3,22.6784,18.4707,26.7228,15.4266,34.2849,12.6292,54.8108,42.1816,186.0,XGBoost,2026-04-01,future
50138,Processor,T+4,36.0518,17.3817,25.8079,15.4312,32.1531,11.6845,58.4414,46.7569,129.69,XGBoost,2026-05-01,future
50139,Processor,T+1,16.9471,14.9608,17.6472,13.5188,23.7028,11.3277,37.2615,25.9338,153.03,XGBoost,2026-02-01,future
50139,Processor,T+2,16.7422,13.8725,18.4275,12.2055,26.7369,10.122,69.6716,59.5496,355.69,XGBoost,2026-03-01,future
50139,Processor,T+3,14.8775,12.1664,16.0708,11.271,20.6409,9.873,98.7632,88.8902,597.48,XGBoost,2026-04-01,future
50139,Processor,T+4,15.3561,24.7456,16.7974,12.2769,31.2199,9.7268,60.6028,50.876,331.31,XGBoost,2026-05-01,future
50140,Processor,T+1,8.6093,7.2068,11.6692,7.1062,15.6041,0.9366,45.8052,44.8685,521.17,XGBoost,2026-02-01,future
50140,Processor,T+2,10.9376,8.2138,14.5874,6.4329,25.8707,4.2507,81.8186,77.5679,709.19,XGBoost,2026-03-01,future
50140,Processor,T+3,11.2539,8.3091,13.7528,7.4541,23.1689,5.6218,121.1765,115.5548,1026.79,XGBoost,2026-04-01,future
50140,Processor,T+4,10.4357,18.9151,13.7485,7.2793,36.268,7.0556,80.3501,73.2945,702.35,XGBoost,2026-05-01,future
50149,Processor,T+1,9.2433,8.2815,10.4634,7.403,13.153,6.298,18.9736,12.6756,137.13,XGBoost,2026-02-01,future
50149,Processor,T+2,9.7097,8.822,14.0165,7.4558,16.783,8.0974,20.8472,12.7498,131.31,XGBoost,2026-03-01,future
50149,Processor,T+3,10.0337,8.8852,14.2521,7.8538,18.8155,7.7858,25.4963,17.7105,176.51,XGBoost,2026-04-01,future
50149,Processor,T+4,9.566,8.3761,14.2567,8.5906,17.4658,6.9944,24.8564,17.862,186.72,XGBoost,2026-05-01,future
50158,Processor,T+1,38.3617,35.9698,46.8808,32.3033,49.8925,22.0297,60.2773,38.2476,99.7,XGBoost,2026-02-01,future
50158,Processor,T+2,35.261,34.0421,42.6089,28.6642,48.1436,19.6614,80.5405,60.8791,172.65,XGBoost,2026-03-01,future
50158,Processor,T+3,35.1674,31.2344,38.7998,26.2628,62.6199,19.0132,75.2463,56.2331,159.9,XGBoost,2026-04-01,future
50158,Processor,T+4,35.0533,28.4637,40.7262,23.644,53.2263,16.1283,67.5874,51.4591,146.8,XGBoost,2026-05-01,future
50159,Processor,T+1,6.4228,5.273,8.9841,5.0707,12.8686,3.567,17.188,13.621,212.07,XGBoost,2026-02-01,future
50159,Processor,T+2,7.3625,5.164,10.4397,4.7631,18.5245,3.2333,21.7581,18.5248,251.61,XGBoost,2026-03-01,future
50159,Processor,T+3,7.9494,5.7001,13.1801,4.6359,16.6761,3.276,19.4617,16.1857,203.61,XGBoost,2026-04-01,future
50159,Processor,T+4,7.808,5.7522,12.8313,4.1718,16.6467,2.9648,22.259,19.2943,247.11,XGBoost,2026-05-01,future
50165,Processor,T+1,7.0223,6.4767,9.4751,5.2175,11.7018,4.7754,14.1094,9.334,132.92,XGBoost,2026-02-01,future
50165,Processor,T+2,7.9395,5.7322,10.3789,4.8454,14.39,4.7864,16.6279,11.8415,149.15,XGBoost,2026-03-01,future
50165,Processor,T+3,8.4946,6.0146,11.4366,4.7968,12.9547,3.5707,14.6873,11.1165,130.87,XGBoost,2026-04-01,future
50165,Processor,T+4,7.5674,6.0199,10.6923,4.8765,12.5935,3.7593,15.8645,12.1052,159.97,XGBoost,2026-05-01,future
50167,Processor,T+1,16.2723,15.9553,17.2293,14.0615,18.8608,11.0543,23.6895,12.6351,77.65,XGBoost,2026-02-01,future
50167,Processor,T+2,15.6233,14.1923,17.4826,12.5663,19.708,9.0324,26.5435,17.5111,112.08,XGBoost,2026-03-01,future
